HOUSEID,PERSONID,TRPTRANS,TRPACCMP,DRVRCNT,EDUC,HHFAMINC,HHSIZE,HHSTATE,HHVEHCNT,HOMEOWN,R_AGE_IMP,R_SEX_IMP,TRPMILES,TRVLCMIN,URBRUR,WORKER,WHYTRP1S,STRTTIME,TRIPPURP,choice,DA,SR,Transit,Bicycle,Walk,av_DA,av_SR,av_Transit,av_Bicycle,av_Walk,constant,DRVRCNT_imp,DRVRCNT_zero,DRVRCNT_one,DRVRCNT_two,DRVRCNT_3GE,education,less_Bachelor,Bachelor,Graduate,hhincome,hhincome_1,hhincome_2,hhincome_3,hhincome_4,hhsize,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize3GE,HHVEHCNT_imp,veh_zero,veh_one,veh_two,veh_3GE,AGE,age_LE18,age18_24,age25_29,age30_44,age45_59,age60_74,age_75GE,Urban_Rural,Employ_status,Gender,Norm_tripmile,Norm_triptime,triptime_scaled,triptime_log,IndivID,ALT_16,ALT_23,ALT_45
30000900,1,5,0,2,2,6,2,WV,5,1,63,1,65.588,100,1,1,10,850,HBW,1,1,0,0,0,0,1,1,1,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,1,1,1,0.02240979,0.094375596,1,2,300009001,3,1,2
30000900,2,3,0,2,2,6,2,WV,5,1,63,2,6.362,10,1,1,10,645,HBW,1,1,0,0,0,0,1,1,1,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,1,1,0,0.002173429,0.0085796,0.1,1,300009002,3,3,2
30000934,2,4,0,2,3,10,3,NH,2,1,36,2,6.015,30,2,1,10,700,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,4,0,0,0,0,3,0,0,1,0,0,1,3,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0.002054866,0.027645377,0.3,1.477121255,300009342,-1,-1,-1
30000934,2,4,0,2,3,10,3,NH,2,1,36,2,6.051,30,2,1,1,800,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,4,0,0,0,0,3,0,0,1,0,0,1,3,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0.002067166,0.027645377,0.3,1.477121255,300009342,-1,-1,-1
30001013,1,3,0,1,4,5,1,CA,1,1,48,2,13.212,20,1,1,10,630,HBW,1,1,0,0,0,0,1,1,1,0,1,1,2,0,0,1,0,2,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,1,1,0,0.004513939,0.018112488,0.2,1.301029996,300010131,3,3,2
30001031,2,2,0,2,5,9,2,WI,5,1,58,1,7.92,35,1,1,10,600,HBW,4,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,1,3,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,1,1,1,0.002705767,0.032411821,0.35,1.544068044,300010312,-1,-1,-1
30001057,1,6,0,2,2,6,4,AR,3,2,39,1,25.995,30,1,1,10,630,HBW,1,1,0,0,0,0,1,1,0,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,4,0,0,0,0,4,0,0,0,1,0,0,0,1,1,1,0.008881639,0.027645377,0.3,1.477121255,300010571,4,3,2
30001057,2,6,1,2,3,6,4,AR,3,2,40,2,3.18,5,1,1,10,655,HBW,2,0,1,0,0,0,1,1,0,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,4,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0.001086202,0.003813155,0.05,0.698970004,300010572,2,1,2
30001057,3,6,1,2,2,6,4,AR,3,2,22,1,3.18,5,1,1,10,655,HBW,2,0,1,0,0,0,1,1,0,0,0,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,4,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0.001086202,0.003813155,0.05,0.698970004,300010573,4,4,4
30001064,1,4,0,3,3,7,4,TX,4,1,53,2,10.21,14,1,1,10,736,HBW,1,1,0,0,0,0,1,1,1,0,0,1,4,0,0,0,1,1,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,4,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0.003488215,0.012392755,0.14,1.146128036,300010641,3,1,4
